英語,日本語,品詞,例文英語１,例文日本語１,例文英語2,例文日本語2,例文英語3,例文日本語3,例文英語4,例文日本語4,last_learned_date,mistake_count,correct_count
ray,"光線,放射線",名詞,A ray of sunshine broke through the clouds.,一筋の太陽の光が雲間から差し込んだ。,The doctor used X-rays to examine the bone.,医者は骨を調べるためにX線を使った。,There's a ray of hope for the patient.,患者には一縷の望みがある。,The lighthouse sent out a powerful ray of light.,灯台は強力な光線を放った。,,0,0
former,"前の,以前の",形容詞,The former president gave a speech.,前大統領が演説を行った。,He is a former student of this university.,彼はこの大学の元学生だ。,"In former times, people used horses for transportation.",昔は、人々は移動に馬を使っていた。,The former building was demolished last year.,以前の建物は昨年取り壊された。,,0,0
invisible,"見えない,不可視な",形容詞,"The air is invisible, but it's all around us.",空気は目に見えないが、私たちの周りにある。,He wore an invisible cloak.,彼は透明なマントを着ていた。,The tiny particles are invisible to the naked eye.,その小さな粒子は肉眼では見えない。,"Her efforts often go unnoticed, making her work almost invisible.",彼女の努力はしばしば気づかれず、彼女の仕事はほとんど目に見えない。,,0,0
order,"命令,指令",名詞,The general gave the order to attack.,将軍は攻撃命令を出した。,Please put the books in alphabetical order.,本をアルファベット順に並べてください。,I would like to order a pizza.,ピザを注文したいのですが。,The room was in perfect order.,部屋は完璧に整頓されていた。,,0,0
symbol,象徴,名詞,The dove is a symbol of peace.,ハトは平和の象徴だ。,The company's logo is a symbol of its brand.,その会社のロゴはブランドの象徴だ。,The national flag is a powerful symbol of unity.,国旗は団結の強力な象徴だ。,"In chemistry, 'H' is the symbol for hydrogen.",化学では、「H」は水素の記号だ。,,0,0
presence,"存在,存在感",名詞,Her presence filled the room with joy.,彼女の存在が部屋を喜びに満たした。,The police presence deterred crime.,警察の存在が犯罪を抑止した。,I felt a strange presence in the dark room.,暗い部屋で奇妙な存在を感じた。,His calm presence helped to ease the tension.,彼の落ち着いた存在感が緊張を和らげるのに役立った。,,0,0
address,"住所,居住地",名詞,Please write your name and address clearly.,氏名と住所をはっきりと書いてください。,The president will address the nation tonight.,大統領は今夜、国民に向けて演説するだろう。,We need to address the issue of climate change.,気候変動の問題に取り組む必要がある。,He lives at the address listed on the letter.,彼は手紙に記載されている住所に住んでいる。,,0,0
reach,"到着する,辿り着く",動詞,We finally reached the summit of the mountain.,私たちはついに山の頂上に到達した。,Can you reach the book on the top shelf?,一番上の棚にある本に手が届きますか？,The news reached us quickly.,そのニュースはすぐに私たちに届いた。,His ambition is to reach the highest level in his field.,彼の野心は、その分野で最高レベルに到達することだ。,,0,0
mortgage,"抵当,担保",名詞,They took out a mortgage to buy their new home.,彼らは新しい家を買うために住宅ローンを組んだ。,The monthly mortgage payments are quite high.,毎月の住宅ローン返済額はかなり高い。,He is trying to pay off his mortgage early.,彼は住宅ローンを早期に完済しようとしている。,The bank holds the mortgage on the property.,銀行がその不動産の抵当権を持っている。,,0,0
naked,"裸の,無防備な",形容詞,The baby was sleeping naked in the crib.,赤ちゃんはベビーベッドで裸で寝ていた。,He saw the truth with his naked eye.,彼は肉眼で真実を見た。,The trees stood naked in the winter landscape.,冬の景色の中で木々は裸で立っていた。,"The company's weaknesses were laid bare, leaving them naked to competition.",その会社の弱点が露呈し、競争に対して無防備になった。,,0,0
somehow,"どうにか,何とか",副詞,We'll manage to finish the project somehow.,どうにかしてプロジェクトを終わらせるだろう。,He somehow knew what I was thinking.,彼はどういうわけか私が何を考えているか知っていた。,"The car broke down, but we somehow made it home.",車が故障したが、どうにか家にたどり着いた。,"I feel like I've seen him before, somehow.",どういうわけか、以前彼に会ったことがあるような気がする。,,0,0
conviction,"信念,確信",名詞,He spoke with deep conviction about his beliefs.,彼は自分の信念について深い確信を持って語った。,The jury returned a conviction after a long deliberation.,陪審員は長い審議の後、有罪判決を下した。,She holds a strong conviction that everyone deserves equal opportunities.,彼女は誰もが平等な機会を得るべきだという強い信念を持っている。,His conviction for fraud led to a prison sentence.,彼の詐欺罪での有罪判決は懲役刑につながった。,,0,0
defendant,"被告人,告発される人",名詞,The defendant pleaded not guilty.,被告人は無罪を主張した。,The lawyer represented the defendant in court.,弁護士は法廷で被告人を弁護した。,The defendant has the right to a fair trial.,被告人には公正な裁判を受ける権利がある。,The jury listened carefully to the testimony of the defendant.,陪審員は被告人の証言を注意深く聞いた。,,0,0
bloody,"血の,血液の",形容詞,He had a bloody nose after the fight.,彼は喧嘩の後、鼻血を出していた。,The movie was too bloody for my taste.,その映画は私の好みには血生臭すぎた。,The doctor stopped the bloody wound.,医者は血まみれの傷を止めた。,It was a bloody difficult task.,それはひどく難しい仕事だった。,,0,0
suppose,"だと思う,と仮定する",動詞,I suppose you're right.,あなたが正しいと思う。,"Suppose we miss the train, what then?",もし電車に乗り遅れたら、どうする？,I suppose I should apologize.,謝るべきだと思う。,He is supposed to be here by now.,彼は今頃ここにいるはずだ。,,0,0
eliminate,"を取り除く,を排除する",動詞,We need to eliminate waste in the production process.,生産工程の無駄をなくす必要がある。,The new policy aims to eliminate poverty.,新しい政策は貧困をなくすことを目指している。,The team was eliminated from the competition.,そのチームは大会から敗退した。,Exercise can help eliminate stress.,運動はストレスを解消するのに役立つ。,,0,0
governor,"知事,州知事",名詞,The governor signed the new law.,知事は新しい法律に署名した。,She is running for governor in the next election.,彼女は次の選挙で知事に立候補している。,The governor addressed the public on the state of the economy.,知事は経済状況について国民に演説した。,The central bank governor announced a change in interest rates.,中央銀行総裁は金利変更を発表した。,,0,0
civilized,"発達した文明をもつ,教養の高い",形容詞,We live in a civilized society.,私たちは文明社会に生きている。,He has a very civilized manner.,彼はとても教養のある態度をしている。,The goal is to create a more civilized world.,目標はより文明的な世界を創造することだ。,"Even in difficult situations, it's important to remain civilized.",困難な状況でも、教養を保つことが重要だ。,,0,0
sophisticated,"洗練された,高雅な",形容詞,She has a very sophisticated taste in fashion.,彼女はファッションにおいて非常に洗練された趣味を持っている。,The new software uses a sophisticated algorithm.,その新しいソフトウェアは洗練されたアルゴリズムを使用している。,He is a sophisticated traveler who has seen the world.,彼は世界を見てきた洗練された旅行者だ。,The restaurant offers a sophisticated dining experience.,そのレストランは洗練された食事体験を提供する。,,0,0
awake,"目を覚ましている,覚醒している",形容詞,I was wide awake all night.,私は一晩中ずっと目を覚ましていた。,The noise kept me awake.,その騒音で私は眠れなかった。,He was still awake when I left.,私が出かけるとき、彼はまだ起きていた。,The sudden sound made her fully awake.,その突然の音で彼女は完全に目を覚ました。,,0,0
productivity,生産性,名詞,The new system increased our productivity.,新しいシステムは私たちの生産性を向上させた。,Employee productivity is crucial for business success.,従業員の生産性はビジネスの成功にとって極めて重要だ。,We need to find ways to improve productivity.,私たちは生産性を向上させる方法を見つける必要がある。,Long working hours do not always lead to higher productivity.,長時間労働が必ずしも高い生産性につながるわけではない。,,0,0
pleasant,"楽しい,愉快な",形容詞,We had a very pleasant evening.,とても楽しい夜を過ごした。,The weather was pleasant for a walk.,散歩には心地よい天気だった。,She has a pleasant voice.,彼女は心地よい声をしている。,It was a pleasant surprise to see him there.,彼がそこにいるのを見て、嬉しい驚きだった。,,0,0
refugee,"難民,避難者",名詞,The organization provides aid to refugees.,その組織は難民に援助を提供している。,Many refugees are seeking asylum in other countries.,多くの難民が他国に亡命を求めている。,The camp provides shelter for thousands of refugees.,そのキャンプは何千人もの難民に避難場所を提供している。,She works as a volunteer helping refugee families.,彼女は難民家族を助けるボランティアとして働いている。,,0,0
prisoner,"囚人,受刑者",名詞,The prisoner attempted to escape from jail.,その囚人は刑務所からの脱走を試みた。,He was taken prisoner during the war.,彼は戦争中に捕虜になった。,The prisoner was released after serving his sentence.,その受刑者は刑期を終えて釈放された。,She felt like a prisoner in her own home.,彼女は自分の家で囚人のように感じた。,,0,0
sightseeing,観光,名詞,We spent the whole day sightseeing in Rome.,ローマで一日中観光して過ごした。,The city offers many sightseeing opportunities.,その都市には多くの観光の機会がある。,Are you going sightseeing tomorrow?,明日、観光に行くの？,We took a sightseeing bus tour of the city.,私たちは市内の観光バスツアーに参加した。,,0,0
loneliness,さみしさ,名詞,She felt a deep sense of loneliness after he left.,彼が去った後、彼女は深い孤独感を感じた。,Loneliness can be a difficult emotion to deal with.,孤独は対処するのが難しい感情であることがある。,He tried to overcome his loneliness by joining a club.,彼はクラブに参加することで孤独を克服しようとした。,The old man suffered from chronic loneliness.,その老人は慢性的な孤独に苦しんでいた。,,0,0
attraction,"引力,持ち味",名詞,The city's main attraction is its ancient castle.,その都市の主な魅力は古代の城だ。,There was an immediate attraction between them.,彼らの間にはすぐに惹かれ合うものがあった。,The law of gravity describes the attraction between masses.,重力の法則は質量間の引力を説明する。,The new theme park is a major tourist attraction.,新しいテーマパークは主要な観光名所だ。,,0,0
assembly,"集合,群集",名詞,The school held a morning assembly.,学校は朝礼を行った。,The car is manufactured on an assembly line.,その車は組み立てラインで製造されている。,The general assembly will vote on the proposal.,総会でその提案について投票が行われる。,The assembly of the furniture took several hours.,家具の組み立てには数時間かかった。,,0,0
echo,"こだま,反響",名詞,Her voice echoed through the empty hall.,彼女の声が空っぽのホールにこだました。,The news of his death sent an echo of sadness through the community.,彼の死の知らせはコミュニティに悲しみの反響をもたらした。,The cave produced a perfect echo.,その洞窟は完璧なこだまを生み出した。,His words still echo in my mind.,彼の言葉はまだ私の心に響いている。,,0,0
script,"台本,脚本",名詞,The actor memorized his lines from the script.,俳優は台本からセリフを覚えた。,She wrote the script for the new movie.,彼女は新しい映画の脚本を書いた。,The computer program runs a script to automate tasks.,そのコンピュータプログラムはタスクを自動化するためにスクリプトを実行する。,His handwriting is a beautiful script.,彼の筆跡は美しい筆記体だ。,,0,0
creation,"創造,創作",名詞,The painting is a beautiful creation of art.,その絵画は美しい芸術作品だ。,The creation of the universe is a mystery.,宇宙の創造は謎だ。,He is involved in the creation of new software.,彼は新しいソフトウェアの創作に携わっている。,The new park is a wonderful creation for the community.,新しい公園は地域社会にとって素晴らしい創造物だ。,,0,0
rapid,"急速な,急激な",形容詞,The company experienced rapid growth last year.,その会社は昨年、急速な成長を遂げた。,He made a rapid recovery from his illness.,彼は病気から急速に回復した。,The river has a rapid current.,その川は流れが速い。,We need a rapid response to the crisis.,私たちは危機に対して迅速な対応が必要だ。,,0,0
lung,肺,名詞,Smoking can damage your lungs.,喫煙は肺を傷つけることがある。,He has a healthy pair of lungs.,彼は健康な肺を持っている。,The doctor listened to her lungs with a stethoscope.,医者は聴診器で彼女の肺の音を聞いた。,The lungs are essential for breathing.,肺は呼吸に不可欠だ。,,0,0
politics,"政治,政策",名詞,He is very interested in politics.,彼は政治にとても興味がある。,The decision was influenced by local politics.,その決定は地方政治に影響された。,She decided to enter politics to make a difference.,彼女は変化をもたらすために政治の世界に入ることを決めた。,It's important to understand the politics of the situation.,状況の政治的側面を理解することが重要だ。,,0,0
enhance,"強調する,(さらに)高める",動詞,This new feature will enhance the user experience.,この新機能はユーザー体験を向上させるだろう。,Good lighting can enhance the beauty of a room.,良い照明は部屋の美しさを高めることができる。,He uses spices to enhance the flavor of his dishes.,彼は料理の風味を高めるためにスパイスを使う。,Education can enhance your career opportunities.,教育はあなたのキャリアの機会を高めることができる。,,0,0
sequence,"連続,継続",名詞,The events occurred in a logical sequence.,その出来事は論理的な順序で起こった。,He described the sequence of events leading to the accident.,彼は事故に至る一連の出来事を説明した。,The DNA sequence determines genetic traits.,DNA配列は遺伝的形質を決定する。,The film has a thrilling action sequence.,その映画にはスリリングなアクションシーンがある。,,0,0
jury,"陪審員,審査員",名詞,The jury found the defendant guilty.,陪審員は被告を有罪とした。,The jury is still out on that decision.,その決定についてはまだ結論が出ていない。,She served on a jury for the first time.,彼女は初めて陪審員を務めた。,The jury listened carefully to all the evidence.,陪審員はすべての証拠を注意深く聞いた。,,0,0
necessity,"必要性,必須",名詞,Food and water are basic necessities of life.,食料と水は生活の基本的な必需品だ。,There is no necessity for you to come.,あなたが来る必要はない。,Necessity is the mother of invention.,必要は発明の母だ。,We discussed the necessity of immediate action.,私たちは即座の行動の必要性について議論した。,,0,0
amusement,"娯楽,楽しみ",名詞,The children found great amusement in playing with the toys.,子供たちはそのおもちゃで遊ぶことに大きな楽しみを見出した。,The amusement park has many exciting rides.,その遊園地には多くのエキサイティングな乗り物がある。,He watched the show with great amusement.,彼は大いに面白がってそのショーを見た。,Reading is a source of amusement for her.,読書は彼女にとって娯楽の源だ。,,0,0
minimum,"最小の,最も小さな",形容詞,You need a minimum of three years of experience for this job.,この仕事には最低3年の経験が必要です。,The temperature dropped to a minimum of -5 degrees Celsius.,気温は最低マイナス5度まで下がった。,We should aim for a minimum of waste.,私たちは最小限の無駄を目指すべきだ。,The minimum wage was increased last year.,最低賃金は昨年引き上げられた。,,0,0
servant,"使用人,召使",名詞,The old servant had served the family for many years.,その老使用人は長年家族に仕えていた。,He considers himself a public servant.,彼は自分を公僕だと考えている。,The servant brought tea to the guests.,使用人が客にお茶を運んできた。,She was treated like a servant in her own home.,彼女は自分の家で召使のように扱われた。,,0,0
vice,"副担当の,代理の",形容詞,He was appointed as the vice president of the company.,彼は会社の副社長に任命された。,Smoking is a bad vice.,喫煙は悪い習慣だ。,The vice squad investigates prostitution and gambling.,風紀班は売春と賭博を捜査する。,He has a vice for collecting rare stamps.,彼には珍しい切手を集めるという悪癖がある。,,0,0
portion,"部分,一部分",名詞,He ate a large portion of the cake.,彼がケーキの大部分を食べた。,Please give me a small portion of rice.,ご飯を少量ください。,A significant portion of the budget was allocated to education.,予算のかなりの部分が教育に割り当てられた。,She received her portion of the inheritance.,彼女は相続財産の一部を受け取った。,,0,0
viewer,"観察者,視聴者",名詞,The TV show attracted millions of viewers.,そのテレビ番組は何百万もの視聴者を引きつけた。,The museum provides an audio guide for every viewer.,その美術館はすべての来館者に音声ガイドを提供している。,The artist wants to engage the viewer emotionally.,その芸術家は視聴者を感情的に引きつけたいと考えている。,The viewer can choose different camera angles.,視聴者は異なるカメラアングルを選択できる。,,0,0
firm,"しっかりした,堅い",形容詞,The company has a firm commitment to customer satisfaction.,その会社は顧客満足に対して確固たるコミットメントを持っている。,The ground was firm after the rain.,雨の後、地面はしっかりしていた。,He works for a law firm.,彼は法律事務所で働いている。,She gave him a firm handshake.,彼女は彼にしっかりとした握手をした。,,0,0
bare,"裸の,露出の",形容詞,He walked barefoot on the bare floor.,彼は裸足でむき出しの床を歩いた。,The trees were bare in winter.,冬には木々は葉を落としていた。,She couldn't bear to think about it.,彼女はそれについて考えることに耐えられなかった。,The truth was laid bare for everyone to see.,真実が皆に見えるように露呈された。,,0,0
institution,"制度,設立",名詞,Harvard University is a prestigious educational institution.,ハーバード大学は名門の教育機関だ。,Marriage is a social institution.,結婚は社会制度だ。,He works for a financial institution.,彼は金融機関で働いている。,The institution was founded in 1880.,その機関は1880年に設立された。,,0,0
buyer,"買い手,購入者",名詞,The buyer and seller agreed on the price.,買い手と売り手は価格に合意した。,We are looking for a potential buyer for our house.,私たちは家の潜在的な買い手を探している。,The car is in excellent condition for a discerning buyer.,その車は目の肥えた買い手にとって素晴らしい状態だ。,"As a buyer, you have certain rights.",買い手として、あなたには特定の権利がある。,,0,0
shooting,"撮影,射撃",名詞,The police are investigating a shooting incident.,警察は銃撃事件を捜査している。,We went shooting at the range.,私たちは射撃場で射撃をした。,The film crew is doing a location shooting.,映画の撮影クルーはロケ撮影を行っている。,He felt a shooting pain in his leg.,彼は足に激しい痛みが走った。,,0,0
firmly,"堅く,確固として",副詞,He held the rope firmly.,彼はロープをしっかりと握った。,She firmly believes in her principles.,彼女は自分の信念を固く信じている。,The decision was firmly made.,その決定は確固としてなされた。,He stated his opinion firmly and clearly.,彼は自分の意見をきっぱりと明確に述べた。,,0,0
partnership,"共同,提携",名詞,The two companies formed a strategic partnership.,2つの会社は戦略的提携を結んだ。,Their partnership has been very successful.,彼らの共同事業は非常に成功している。,We are looking for a strong partnership with local businesses.,私たちは地元企業との強力な提携を求めている。,A good marriage is based on partnership and mutual respect.,良い結婚は共同と相互尊重に基づいている。,,0,0
dealer,"販売業者,売り手",名詞,I bought my car from a local dealer.,地元の販売業者から車を買った。,He is a reputable art dealer.,彼は評判の良い美術商だ。,The card dealer shuffled the deck.,カードのディーラーがデッキをシャッフルした。,She works as a car dealer.,彼女は自動車販売業者として働いている。,,0,0
province,"州,地方",名詞,Quebec is a large province in Canada.,ケベックはカナダの大きな州だ。,He traveled to a remote province in China.,彼は中国の遠隔の地方へ旅した。,The new policy applies to all provinces.,新しい政策はすべての州に適用される。,This matter is outside my province.,この件は私の管轄外だ。,,0,0
explore,"探索する,調査する",動詞,We decided to explore the old castle.,私たちは古い城を探索することにした。,Scientists are exploring new ways to treat cancer.,科学者たちは癌を治療する新しい方法を調査している。,The company is exploring new markets for its products.,その会社は製品の新しい市場を探索している。,Let's explore the possibility of working together.,一緒に働く可能性を探ってみましょう。,,0,0
democrat,"民主主義者,民主派",名詞,He is a lifelong Democrat.,彼は生涯民主党員だ。,She is a strong advocate for democratic principles.,彼女は民主主義の原則を強く擁護している。,The country is transitioning to a democrat government.,その国は民主主義政府に移行している。,"As a democrat, he believes in the power of the people.",民主主義者として、彼は人々の力を信じている。,,0,0
term,"期間,専門用語",名詞,The contract is for a term of five years.,その契約は5年間の期間だ。,Please explain the technical terms.,技術的な専門用語を説明してください。,He used a harsh term to describe the situation.,彼はその状況を表現するのに厳しい言葉を使った。,"In the long term, this investment will pay off.",長期的には、この投資は報われるだろう。,,0,0
yield,"産出する,生ずる",動詞,The farm yields a large crop of corn every year.,その農場は毎年大量のトウモロコシを産出する。,The investment yielded a high return.,その投資は高い収益を生んだ。,He refused to yield to pressure.,彼は圧力に屈することを拒んだ。,"The sign says \Yield to oncoming traffic.\""""",標識には「対向車に道を譲れ」と書いてある。,,0,0
confront,"直面させる,に立ち向かう",動詞,He decided to confront his fears.,彼は自分の恐怖に立ち向かうことを決めた。,We must confront the challenges ahead.,私たちは目の前の課題に立ち向かわなければならない。,She confronted him about his behavior.,彼女は彼の行動について彼に詰め寄った。,The police confronted the suspect.,警察は容疑者と対峙した。,,0,0
pursuit,"追跡,追跡行為",名詞,He is in pursuit of happiness.,彼は幸福を追求している。,The police car was in hot pursuit of the stolen vehicle.,パトカーは盗難車を猛追していた。,She enjoys the pursuit of knowledge.,彼女は知識の追求を楽しんでいる。,He abandoned the pursuit of his dream.,彼は夢の追求を諦めた。,,0,0
concrete,"具体的な,明確な",形容詞,We need a concrete plan of action.,具体的な行動計画が必要だ。,The building is made of concrete.,その建物はコンクリート製だ。,Can you give me a concrete example?,具体的な例を挙げてもらえますか？,The artist used concrete to create his sculptures.,その芸術家は彫刻を作るためにコンクリートを使用した。,,0,0
debate,"討論,議論",名詞,There was a heated debate about the new policy.,新しい政策について激しい討論があった。,They debated the issue for hours.,彼らはその問題について何時間も議論した。,The presidential candidates will participate in a televised debate.,大統領候補はテレビ討論会に参加する。,The debate over climate change continues.,気候変動をめぐる議論は続いている。,,0,0
exist,"存在する,実在する",動詞,Do aliens really exist?,宇宙人は本当に存在するのか？,Problems exist in every society.,どの社会にも問題は存在する。,He believes that true love does exist.,彼は真実の愛は存在すると信じている。,The ancient ruins still exist today.,その古代遺跡は今日でも実在する。,,0,0
dispute,争議/論争する,"名詞,動詞",The two countries are in dispute over the border.,両国は国境をめぐって争っている。,He disputed the claim that he was responsible.,彼は自分が責任者であるという主張に異議を唱えた。,The labor dispute lasted for several weeks.,その労働争議は数週間続いた。,There is no dispute that he is the best player.,彼が最高の選手であることに異論はない。,,0,0
executive,"実行する,実施する",形容詞,She holds an executive position in the company.,彼女は会社で役員の地位にある。,The executive committee made the final decision.,執行委員会が最終決定を下した。,He is a top executive at a multinational corporation.,彼は多国籍企業のトップエグゼクティブだ。,The executive branch of government is responsible for implementing laws.,政府の行政部門は法律の実施を担当している。,,0,0
lawn,"芝生,草地",名詞,He was mowing the lawn on a sunny afternoon.,彼は晴れた午後に芝生を刈っていた。,The children played on the green lawn.,子供たちは緑の芝生で遊んだ。,Please keep off the lawn.,芝生に入らないでください。,The house has a beautiful front lawn.,その家には美しい前庭がある。,,0,0
strict,"厳しい,厳格な",形容詞,The school has very strict rules.,その学校には非常に厳しい規則がある。,My parents were very strict with me.,私の両親は私にとても厳しかった。,He follows a strict diet.,彼は厳格な食事療法に従っている。,The company enforces strict quality control.,その会社は厳格な品質管理を実施している。,,0,0
capable,"可能性がある,才能のある",形容詞,She is capable of doing great things.,彼女は素晴らしいことを成し遂げる能力がある。,He is a very capable leader.,彼は非常に有能なリーダーだ。,The system is capable of handling a large amount of data.,そのシステムは大量のデータを処理できる。,Are you capable of finishing the task by yourself?,そのタスクを一人で終わらせることができますか？,,0,0
merchant,"商人,販売者",名詞,The merchant sold spices and silks.,その商人は香辛料と絹を売っていた。,He is a successful merchant in the city.,彼はその都市で成功した商人だ。,The merchant ship sailed across the ocean.,商船は海を渡った。,The merchant accepted credit card payments.,その販売者はクレジットカードでの支払いを受け付けた。,,0,0
employer,"雇用者,雇い主",名詞,My employer offers good benefits.,私の雇用主は良い福利厚生を提供している。,He is a fair and understanding employer.,彼は公正で理解のある雇い主だ。,The employer is responsible for employee safety.,雇用者は従業員の安全に責任がある。,She received a positive reference from her previous employer.,彼女は以前の雇用主から良い推薦状を受け取った。,,0,0
peculiar,"奇妙な,変わった",形容詞,He has a peculiar sense of humor.,彼には奇妙なユーモアのセンスがある。,The house had a peculiar smell.,その家には変わった匂いがした。,It's peculiar that he didn't answer the phone.,彼が電話に出なかったのは奇妙だ。,This species of bird is peculiar to this island.,この鳥の種はこの島に特有だ。,,0,0
focus,"焦点,中心",名詞,Please focus on your work.,仕事に集中してください。,The camera has an automatic focus.,そのカメラはオートフォーカス機能がある。,The discussion will focus on the main issues.,議論は主要な問題に焦点を当てるだろう。,He lost his focus during the exam.,彼は試験中に集中力を失った。,,0,0
expose,"明らかにする,明示する",動詞,The journalist exposed the corruption in the government.,そのジャーナリストは政府の腐敗を明らかにした。,Don't expose your skin to direct sunlight for too long.,肌を長時間直射日光にさらさないでください。,The scandal exposed the true nature of the politician.,そのスキャンダルは政治家の本性を露呈した。,The new law will expose companies to greater scrutiny.,新しい法律は企業をより厳重な監視にさらすだろう。,,0,0
accustomed,"慣れている,いつもの",形容詞,He is accustomed to working long hours.,彼は長時間働くことに慣れている。,She quickly became accustomed to the new environment.,彼女はすぐに新しい環境に慣れた。,We are accustomed to the cold weather here.,私たちはここの寒い天候に慣れている。,It took some time to get accustomed to the new software.,新しいソフトウェアに慣れるのに少し時間がかかった。,,0,0
comprehensive,"包括的な,理解力のある",形容詞,The report provides a comprehensive overview of the market.,その報告書は市場の包括的な概要を提供している。,We offer a comprehensive range of services.,私たちは包括的なサービスを提供している。,He has a comprehensive understanding of the subject.,彼はその主題について包括的な理解を持っている。,The company provides comprehensive training to its employees.,その会社は従業員に包括的なトレーニングを提供している。,,0,0
subtle,"微妙な,繊細な",形容詞,She noticed a subtle change in his behavior.,彼女は彼の行動に微妙な変化に気づいた。,The painting has subtle shades of blue and green.,その絵画には微妙な青と緑の色合いがある。,He gave a subtle hint that he wanted to leave.,彼は去りたいという微妙なヒントを与えた。,The difference between the two products is very subtle.,2つの製品の違いは非常に微妙だ。,,0,0
depress,"落胆させる,失望させる",動詞,The bad news depressed him.,その悪い知らせは彼を落胆させた。,The economic downturn depressed the housing market.,経済の低迷が住宅市場を低迷させた。,Don't let failure depress you.,失敗に落胆してはいけない。,The button needs to be depressed to activate the machine.,機械を起動するにはボタンを押し下げる必要がある。,,0,0
suit,"適合する,合致する",動詞,This color doesn't suit me.,この色は私に似合わない。,He wore a business suit to the meeting.,彼は会議にビジネススーツを着ていった。,The new schedule suits everyone.,新しいスケジュールは皆に都合が良い。,She filed a lawsuit against the company.,彼女はその会社に対して訴訟を起こした。,,0,0
defeat,"負かす,打ち破る",動詞,The army suffered a crushing defeat.,その軍隊は壊滅的な敗北を喫した。,He managed to defeat his opponent in the final round.,彼は最終ラウンドで対戦相手を打ち破ることができた。,We must not let fear defeat us.,恐れに打ち負かされてはならない。,The team was defeated by a single goal.,そのチームは1点差で敗れた。,,0,0
rub,"こする,さする",動詞,Rub the cream gently into your skin.,クリームを優しく肌にこすりつけてください。,He rubbed his eyes sleepily.,彼は眠そうに目をこすった。,There's the rub.,そこが問題だ。,The shoes began to rub against his heel.,靴がかかとにこすれ始めた。,,0,0
contrary,"反対の,逆の",形容詞,"On the contrary, I think it's a good idea.",それどころか、私はそれは良い考えだと思う。,His actions were contrary to his words.,彼の行動は彼の言葉に反していた。,The evidence suggests the contrary.,証拠は逆のことを示唆している。,"Contrary to popular belief, cats are not always aloof.",一般的な信念とは反対に、猫は常によそよそしいわけではない。,,0,0
destroy,"を破壊する,を壊す",動詞,The earthquake destroyed many buildings.,地震で多くの建物が破壊された。,He tried to destroy all evidence.,彼はすべての証拠を破壊しようとした。,The fire completely destroyed the old house.,火事は古い家を完全に破壊した。,Pollution can destroy the environment.,汚染は環境を破壊することがある。,,0,0
apart,"離れて,遠くに",副詞,The two houses are far apart.,2つの家は遠く離れている。,They grew apart over the years.,彼らは年月とともに疎遠になった。,The old car fell apart on the highway.,その古い車は高速道路でバラバラになった。,He tore the letter apart.,彼は手紙を破り捨てた。,,0,0
income,"所得,収入",名詞,His annual income is quite high.,彼の年間所得はかなり高い。,The family lives on a low income.,その家族は低所得で生活している。,She earns a good income from her job.,彼女は仕事から良い収入を得ている。,The government provides income support to those in need.,政府は困窮している人々に所得支援を提供している。,,0,0
actual,"現実の,事実の",形容詞,What was the actual cost of the trip?,旅行の実際の費用はいくらでしたか？,The actual number of participants was higher than expected.,実際の参加者数は予想よりも多かった。,He looks younger than his actual age.,彼は実年齢よりも若く見える。,The actual event was very different from what I imagined.,実際の出来事は私が想像していたものとは大きく異なっていた。,,0,0
impulse,"衝動,衝力",名詞,He acted on impulse and regretted it later.,彼は衝動的に行動し、後で後悔した。,She had a sudden impulse to buy a new dress.,彼女は突然新しいドレスを買いたい衝動に駆られた。,The electrical impulse travels along the nerve.,電気信号は神経に沿って伝わる。,Don't make important decisions on impulse.,衝動的に重要な決定を下してはいけない。,,0,0
encounter,"遭遇する,出会う",動詞,We encountered some difficulties on our journey.,私たちは旅の途中でいくつかの困難に遭遇した。,He had a strange encounter with a stranger.,彼は見知らぬ人との奇妙な出会いがあった。,The two armies encountered each other on the battlefield.,2つの軍隊は戦場で遭遇した。,I hope to encounter many interesting people during my travels.,旅行中に多くの興味深い人々に出会いたい。,,0,0
politician,"政治家,政府要人",名詞,He is a well-known politician in the country.,彼はその国でよく知られた政治家だ。,The politician promised to lower taxes.,その政治家は減税を約束した。,She decided to become a politician to serve the public.,彼女は国民に奉仕するために政治家になることを決めた。,It's hard to trust some politicians.,一部の政治家を信頼するのは難しい。,,0,0
intellectual,"知的な,知識に関する",形容詞,He is a highly intellectual person.,彼は非常に知的な人物だ。,The book provides intellectual stimulation.,その本は知的な刺激を提供する。,She enjoys intellectual conversations.,彼女は知的な会話を楽しむ。,The university is a center of intellectual activity.,その大学は知的活動の中心だ。,,0,0
urge,"強く促す,早める",動詞,I felt a strong urge to open the present.,私はプレゼントを開けたいという強い衝動を感じた。,He urged her to reconsider her decision.,彼は彼女に決断を再考するよう強く促した。,The government urged citizens to stay home.,政府は市民に自宅待機を強く促した。,She resisted the urge to laugh.,彼女は笑いたい衝動に抵抗した。,,0,0
honor,"名誉,特権",名詞,It was an honor to meet the President.,大統領にお会いできて光栄でした。,He fought for the honor of his family.,彼は家族の名誉のために戦った。,We should honor our elders.,私たちは年長者を敬うべきだ。,The university awarded her an honorary degree.,大学は彼女に名誉学位を授与した。,,0,0
